	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
16SC16129Y	-0.14800000000000002	-0.8690000000000001	-3.136	-3.56	-1.815	-3.029	-0.37200000000000005	-1.811	0.371	0.449	-0.35700000000000004	-0.711	-3.697	-1.3230000000000002	0.805	1.966	2.521	-1.609	7.062	2.713	-1.001	2.957	-1.068	-26.921
16SC19342Y	0.295	-0.134	-1.425	-1.99	-0.955	-1.449	-0.213	-0.5329999999999999	0.41700000000000004	0.674	0.535	-0.711	-2.016	-0.821	0.667	1.383	1.031	-0.885	5.144	3.029	0.263	2.053	-0.35600000000000004	-29.29
16SC16473Y	-0.222	-1.003	-2.708	-3.037	-2.101	-3.424	-0.426	-1.9180000000000001	0.556	-0.299	-0.892	-1.777	-2.464	-0.091	0.644	1.771	1.891	-1.891	4.97	1.3880000000000001	0.369	3.162	-0.214	-26.851999999999997
16SC16193Y	0.0	-0.067	-1.71	-1.78	-1.051	-0.922	-0.16	-1.012	0.185	0.225	0.17800000000000002	0.237	-1.7919999999999998	-0.365	0.092	0.8640000000000001	1.318	-0.563	2.964	3.029	-0.685	1.109	0.217	0.069
16SC19393Y	0.07400000000000001	-0.669	-1.2830000000000001	-2.199	-0.86	-0.922	-0.37200000000000005	-0.639	-0.602	0.449	-0.08900000000000001	-0.355	-1.9040000000000001	-0.365	-0.046	0.778	1.661	-0.161	3.313	3.407	-0.21100000000000002	1.4369999999999998	-1.3030000000000002	-3.949
16SC15101Y	0.07400000000000001	-0.401	-1.425	-1.675	-0.955	-1.449	-0.106	-0.213	0.41700000000000004	0.0	0.268	-0.5920000000000001	-1.4	-0.091	0.184	0.7559999999999999	1.49	-1.127	3.662	1.64	-0.263	1.561	-0.8190000000000001	-28.878
16SC18830Y	0.369	-0.46799999999999997	-1.8530000000000002	-2.3040000000000003	-1.146	-1.844	-0.37200000000000005	-1.2790000000000001	0.509	0.15	-0.35700000000000004	-0.5329999999999999	-1.9040000000000001	-0.9129999999999999	0.552	1.426	1.547	-0.322	3.923	2.145	0.21100000000000002	1.807	0.797	4.4639999999999995
16SC08998Y	-0.222	-0.46799999999999997	-1.14	-1.885	-0.86	-1.383	-0.266	-0.852	-0.324	0.299	0.892	-0.11800000000000001	-1.568	-0.183	0.368	0.605	1.547	-0.7240000000000001	5.144	2.7760000000000002	0.21100000000000002	1.725	-0.507	-3.3310000000000004
16SC15255Y	0.48	-0.201	-1.8530000000000002	-1.99	-0.86	-1.317	-0.37200000000000005	-1.492	-0.139	0.374	0.268	-0.11800000000000001	-2.352	0.0	0.322	1.08	1.031	-0.563	4.446000000000001	3.155	-0.474	1.52	-1.21	-29.805
16SC12080Y	-0.14800000000000002	-0.33399999999999996	-1.71	-1.2570000000000001	-1.051	-0.922	-0.16	-0.426	0.371	0.075	-0.535	-0.474	-1.12	-0.821	0.506	1.037	0.745	-0.322	2.528	2.019	0.053	1.314	-0.7120000000000001	-29.016
16SC15109Y	-0.222	-0.602	-0.57	-1.361	-0.955	-0.922	-0.37200000000000005	-0.5329999999999999	-0.371	0.075	0.35700000000000004	-0.8290000000000001	-0.56	0.183	-0.046	0.259	1.203	-0.121	3.313	2.019	-0.316	0.862	-1.851	-30.732
16SC18230Y	0.0	-0.401	-1.425	-1.571	-0.764	-1.054	-0.266	-1.0659999999999998	-0.41700000000000004	0.15	-0.08900000000000001	-0.11800000000000001	-1.456	-0.9129999999999999	-0.276	0.259	0.8590000000000001	-0.845	2.877	3.029	-0.053	0.698	-0.652	-2.095
16SC19346Y	0.369	-0.33399999999999996	-1.639	-2.3040000000000003	-0.955	-1.712	-0.585	-1.0659999999999998	0.278	0.449	0.0	-0.237	-1.7919999999999998	0.0	0.391	1.4469999999999998	2.062	-0.7240000000000001	5.754	2.398	0.369	1.766	-0.35600000000000004	-29.84
16SC14733Y	0.44299999999999995	-0.33399999999999996	-1.568	-2.199	-1.337	-1.844	-0.16	-0.426	0.324	0.075	0.08900000000000001	-0.237	-1.9040000000000001	-0.183	0.46	1.08	1.375	-0.483	3.139	2.334	-0.58	1.643	-0.8540000000000001	-29.771
16SC04165Y	0.44299999999999995	-0.401	-2.423	-2.3040000000000003	-1.242	-1.317	-0.106	-0.5329999999999999	0.741	0.0	-0.35700000000000004	-1.1840000000000002	-2.24	-0.27399999999999997	0.276	1.858	2.062	-0.644	6.452000000000001	2.271	-0.21100000000000002	2.752	0.142	-28.329
16SC16195Y	0.665	0.067	-0.998	-2.199	-1.528	-0.6579999999999999	-0.532	-1.2790000000000001	0.371	0.449	0.446	-1.3619999999999999	-2.352	-0.821	0.552	0.518	1.432	-1.046	1.133	1.83	0.21100000000000002	1.6840000000000002	-2.7769999999999997	-29.359
16SC09139Y	0.222	-0.46799999999999997	-0.713	-1.885	-1.528	-1.119	-0.37200000000000005	-0.639	-0.46299999999999997	0.524	0.446	0.355	-2.128	0.13699999999999998	0.023	0.799	1.776	-0.322	4.97	2.9019999999999997	-0.105	1.232	-1.4240000000000002	-30.904
16SC16813Y	-0.14800000000000002	-0.602	-1.568	-1.675	-1.337	-1.449	-0.426	-0.426	-0.139	0.075	0.0	-0.237	-1.568	-0.639	0.253	0.778	1.547	-0.08	4.534	2.524	-0.58	1.355	-0.285	-30.114
